outcome,day_crash,hour_crash,road_type,road_condition,weather_condition,visibility,type_vehicle,type_vehicle2,gender,crash_type,age
0,5,Day,Asphalt,NA,Clear,1,truck,car,male,collision,27.82222222
0,6,Day,Asphalt,Dry,Clear,1,truck,car,male,collision,NA
0,3,Night,Asphalt,Dry,Clear,2,bus,truck,male,collision,50.18333333
0,3,Day,Asphalt,Dry,Clear,2,motorcycle,car,male,collision,27.86111111
0,6,Day,Asphalt,Wet or Damaged,Unclear,1,car,car,male,collision,31.86388889
0,3,Night,Asphalt,Dry,Clear,1,car,NA,male,collision,41.00555556
0,4,Day,Asphalt,Dry,NA,1,motorcycle,car,male,collision,23.81944444
0,7,Day,Asphalt,Dry,Clear,1,truck,motorcycle,male,collision,30.91111111
0,3,Night,Asphalt,Dry,Clear,3,car,car,female,collision,43.01666667
0,4,Dawn,Asphalt,Dry,Clear,1,truck,NA,male,collision,42.03055556
0,4,Night,Asphalt,Dry,NA,2,bus,car,male,collision,24.83333333
0,2,Night,Asphalt,Dry,Clear,2,motorcycle,car,male,collision,33.825
0,5,Night,Asphalt,Dry,Clear,2,car,car,female,collision,32.93333333
0,2,Night,Asphalt,Dry,Clear,2,truck,truck,male,collision,33.825
0,7,Day,Asphalt,Wet or Damaged,Unclear,1,bus,truck,male,collision,47.08611111
0,1,Dawn,Asphalt,Dry,Clear,1,truck,NA,male,collision,33
0,3,Dawn,Asphalt,Dry,Clear,1,motorcycle,car,male,collision,46.13888889
0,7,Night,Asphalt,Dry,Clear,2,car,car,male,collision,36.91944444
0,3,Day,Asphalt,Dry,Clear,1,car,car,male,collision,40.01111111
0,2,Dawn,Asphalt,Dry,Clear,1,bus,NA,male,collision,37.86388889
0,6,Dawn,Asphalt,NA,Clear,3,bus,bus,male,collision,54.26388889
0,7,Night,Soil,Dry,Clear,3,car,NA,male,collision,45.975
0,1,Day,Asphalt,Dry,Clear,1,car,car,male,collision,29.91944444
0,2,Day,Asphalt,Dry,Clear,1,motorcycle,car,male,collision,31.91111111
0,7,Dawn,Asphalt,Dry,Clear,1,car,car,male,collision,34.00833333
0,1,Day,Asphalt,Wet or Damaged,Unclear,1,car,car,female,collision,23.69444444
0,3,Dawn,Asphalt,Dry,Clear,3,car,car,male,collision,56.28333333
NA,3,Night,Asphalt,Dry,Clear,3,NA,car,NA,collision,NA
0,3,Dawn,Asphalt,NA,Clear,NA,truck,car,male,collision,29.83888889
0,2,Day,Asphalt,Dry,Clear,1,car,car,male,collision,71.57777778
0,1,Night,Asphalt,Wet or Damaged,Clear,1,bus,car,male,collision,30.93333333
0,5,Day,NA,Dry,Clear,1,truck,car,male,collision,35.04166667
0,1,Day,Asphalt,Dry,Clear,1,car,car,male,collision,24.72777778
0,2,Dawn,Soil,Dry,Clear,3,truck,car,male,collision,31.91111111
0,6,Night,NA,Dry,Clear,3,car,car,male,collision,34.85555556
0,2,Day,Asphalt,NA,Clear,2,car,motorcycle,female,collision,36.98333333
0,5,Day,Asphalt,Dry,Clear,1,car,NA,male,collision,49.16666667
0,3,Day,Asphalt,Dry,Clear,1,truck,car,male,collision,34.9
0,3,Night,Soil,Dry,Clear,2,truck,car,male,collision,36.06944444
0,2,Night,Asphalt,Dry,Clear,1,car,car,male,collision,45.17777778
0,3,Day,Asphalt,NA,Clear,1,car,NA,female,collision,46.13888889
NA,1,Day,NA,Dry,Clear,1,truck,NA,male,collision,50.17222222
0,7,Night,Asphalt,Dry,NA,NA,bus,truck,male,collision,34.96944444
0,6,Night,Asphalt,Dry,Clear,2,motorcycle,car,male,collision,31.98055556
0,6,Day,Asphalt,Dry,Clear,1,car,bus,male,collision,28.99444444
0,1,Day,Asphalt,Dry,Clear,1,motorcycle,truck,male,collision,26.75833333
0,5,Night,Asphalt,Dry,Clear,3,car,truck,male,collision,29.85555556
0,6,Dawn,Soil,Dry,NA,NA,truck,NA,male,collision,32.975
0,1,Dawn,Asphalt,Dry,Clear,1,truck,car,male,collision,30.95277778
0,1,Day,Asphalt,Dry,Clear,1,car,car,male,collision,36.90277778
0,1,Night,Asphalt,Dry,Clear,1,car,car,male,collision,35.94722222
0,5,Night,NA,NA,NA,NA,truck,truck,male,collision,36.95277778
0,5,Night,Asphalt,Dry,Clear,1,motorcycle,car,male,collision,24.85555556
0,5,Dawn,Asphalt,Dry,Clear,1,bus,car,male,collision,29.89166667
0,3,Night,Asphalt,Dry,Clear,1,truck,car,male,collision,33.88611111
0,4,Day,Asphalt,Dry,Clear,1,car,NA,male,collision,55.23333333
0,4,Night,Asphalt,NA,Clear,1,truck,car,male,collision,33.94722222
0,7,Day,NA,Dry,NA,NA,bus,car,male,collision,33.93611111
0,5,Day,Asphalt,Dry,Clear,NA,car,bus,male,collision,60.38611111
0,6,Day,Asphalt,NA,NA,NA,bus,bus,male,collision,37.16944444
0,7,Night,Asphalt,Dry,Clear,NA,bus,bus,male,collision,36.95833333
0,3,Dawn,Asphalt,Dry,Clear,2,truck,bus,male,collision,32.81111111
0,5,Day,Asphalt,Dry,Clear,1,car,truck,male,collision,25.91111111
0,3,Day,Asphalt,NA,NA,1,car,truck,male,collision,34.21666667
0,3,Dawn,Asphalt,NA,Clear,3,car,NA,female,collision,41.025
0,2,Day,Asphalt,Dry,NA,NA,bus,truck,male,collision,48.28055556
0,7,Day,Asphalt,Dry,NA,1,motorcycle,car,male,collision,29.15277778
0,2,Night,Asphalt,Wet or Damaged,NA,2,motorcycle,car,male,collision,24.88611111
0,7,Day,NA,Dry,Clear,1,car,bus,male,collision,44.06111111
0,5,Day,Asphalt,Dry,Clear,1,car,bus,male,collision,35.15833333
0,6,Night,Asphalt,Dry,NA,NA,motorcycle,car,female,collision,28.19444444
0,5,Night,Asphalt,Dry,Clear,2,truck,car,male,collision,41.08888889
0,5,Night,Asphalt,NA,Clear,1,bus,car,male,collision,25.28333333
0,7,Day,Asphalt,Dry,NA,NA,motorcycle,car,male,collision,33.93611111
0,5,Day,Soil,Dry,Clear,1,truck,NA,male,collision,29.25
0,4,Night,Asphalt,Dry,NA,NA,truck,car,male,runover,49.28055556
0,5,Night,Soil,Dry,NA,2,truck,NA,male,collision,29.87222222
0,5,Day,Asphalt,Dry,Clear,1,truck,car,male,collision,36.05555556
0,4,Dawn,Asphalt,Wet or Damaged,Unclear,1,car,NA,male,collision,28.26666667
0,1,Day,Asphalt,Dry,Clear,1,car,car,male,collision,28.29722222
0,1,Night,Asphalt,Dry,Clear,1,truck,car,male,collision,28.98055556
0,2,Day,Asphalt,Dry,Clear,1,truck,car,male,collision,25.70833333
0,4,Dawn,Asphalt,Dry,NA,1,truck,car,male,collision,28.30555556
0,6,Day,Asphalt,Dry,NA,NA,car,truck,male,collision,37.81666667
0,6,Night,Asphalt,Dry,Clear,2,truck,car,male,collision,33.77777778
0,2,Day,Asphalt,Dry,Clear,3,car,car,female,collision,33.74722222
1,2,Night,Soil,Dry,NA,3,car,NA,male,collision,38.8
0,7,Night,Asphalt,Dry,Clear,3,truck,NA,male,collision,33.74166667
0,7,Day,Asphalt,Dry,Clear,1,bus,car,male,collision,27.65277778
0,2,Day,Asphalt,NA,NA,1,truck,truck,male,collision,33.78333333
0,2,Night,Asphalt,Dry,NA,2,car,car,male,collision,53.00277778
0,6,Night,Asphalt,Dry,Clear,2,car,car,male,collision,44.99166667
0,5,Day,Asphalt,Dry,Clear,3,motorcycle,car,male,runover,31.70555556
0,4,Day,Asphalt,Dry,Clear,1,bus,car,male,collision,37.73888889
0,1,Night,Asphalt,Dry,Clear,1,car,car,male,collision,29.70555556
0,1,Dawn,Asphalt,Dry,Clear,NA,motorcycle,car,male,collision,28.76666667
0,3,Day,Asphalt,Dry,Clear,1,car,car,male,collision,32.79166667
0,5,Night,Soil,NA,NA,NA,truck,truck,male,collision,38.86666667
0,4,Day,Asphalt,NA,NA,NA,truck,truck,male,collision,27.74166667
0,6,Day,Asphalt,NA,Clear,1,car,car,male,collision,60.13611111
0,1,Dawn,Asphalt,Dry,Clear,1,truck,motorcycle,male,collision,28.78611111
0,4,Dawn,Asphalt,Dry,NA,NA,car,car,male,collision,51.08055556
1,6,Day,Asphalt,Dry,NA,1,motorcycle,car,male,collision,31.70833333
0,7,Night,Asphalt,NA,NA,NA,car,car,male,collision,29.70277778
0,2,Day,Asphalt,NA,Clear,1,truck,car,male,collision,27.65833333
0,4,Day,Asphalt,NA,NA,NA,car,car,male,collision,36.87222222
1,2,Day,Asphalt,Wet or Damaged,Clear,3,car,pedestrian,male,collision,30.69166667
0,4,Day,Soil,NA,NA,1,truck,motorcycle,male,collision,29.81111111
0,7,Night,Asphalt,Dry,Clear,1,car,car,male,collision,41.87777778
0,6,Night,Asphalt,Wet or Damaged,Unclear,3,truck,truck,male,collision,30.83055556
0,1,Day,Asphalt,Dry,Clear,1,truck,bus,male,collision,49.01944444
0,3,Night,Asphalt,NA,Clear,2,truck,car,male,collision,34.78333333
0,3,Day,Asphalt,Dry,Clear,1,bus,car,male,collision,25.71111111
0,3,Night,Asphalt,Dry,Clear,2,truck,car,male,collision,37.88611111
NA,1,Day,NA,NA,Clear,1,truck,NA,NA,collision,NA
0,2,Day,Asphalt,Dry,Clear,1,car,car,male,collision,35.775
0,1,Dawn,Asphalt,Dry,Clear,1,bus,car,male,collision,34.79722222
0,5,Day,NA,Dry,Clear,1,truck,car,male,runover,33.83333333
0,1,Day,Asphalt,Dry,Clear,2,truck,car,male,collision,45.99722222
0,1,Night,Asphalt,Dry,Clear,3,truck,car,male,collision,29.725
0,1,Night,Asphalt,Dry,Clear,1,truck,car,male,collision,60.12222222
0,6,Night,Asphalt,Dry,Clear,2,car,motorcycle,male,collision,58.225
1,7,Night,Asphalt,Dry,Clear,2,bus,pedestrian,male,collision,33.83888889
0,2,Day,Asphalt,Dry,Clear,1,car,car,male,collision,49.04166667
0,1,Night,Asphalt,Dry,Clear,1,car,car,male,collision,53.05833333
0,4,Day,Soil,Dry,Clear,1,truck,NA,male,collision,27.70277778
0,2,Day,Asphalt,Dry,Clear,1,truck,car,male,collision,25.63055556
0,7,Night,NA,Dry,Clear,2,car,car,male,collision,38.83333333
0,7,Night,Asphalt,Dry,NA,2,motorcycle,bus,male,collision,23.73055556
0,2,Day,Asphalt,Dry,Clear,1,truck,car,male,collision,54.07777778
0,6,Day,Asphalt,Dry,Clear,1,motorcycle,car,male,collision,30.83055556
0,NA,Night,Asphalt,NA,NA,3,car,NA,male,collision,36.85833333
1,3,Day,Asphalt,Dry,Clear,1,motorcycle,pedestrian,male,collision,29.77777778
0,3,Night,Asphalt,Dry,Clear,1,bus,car,male,collision,58.1
0,5,Day,Asphalt,NA,Clear,1,car,car,male,collision,47.00277778
0,1,Day,Asphalt,Dry,Clear,2,car,car,male,collision,47.94722222
0,3,Day,Asphalt,NA,Clear,1,bus,bus,male,collision,26.64722222
0,3,Night,Asphalt,Dry,NA,NA,truck,car,male,collision,32.81111111
0,1,Day,Asphalt,Dry,Clear,1,bus,car,male,collision,33.76388889
0,4,Night,Asphalt,Dry,Clear,2,car,NA,male,collision,36.89166667
0,1,Day,Asphalt,Dry,Clear,1,car,car,male,collision,35.79166667
1,2,Dawn,Asphalt,Dry,Clear,2,car,motorcycle,male,collision,38.8
0,2,Night,Soil,Dry,Clear,3,car,bus,male,collision,33.74722222
0,5,NA,Asphalt,Dry,Clear,1,car,car,male,collision,46.06666667
0,7,Day,Asphalt,Wet or Damaged,Clear,NA,car,car,male,collision,42.91111111
0,2,Day,Asphalt,Dry,NA,NA,bus,car,male,collision,31.75555556
0,2,Night,Asphalt,Dry,Clear,2,truck,car,male,collision,24.73055556
1,5,Night,Asphalt,NA,Clear,1,bus,pedestrian,male,NA,40.875
0,3,Day,Soil,NA,NA,1,truck,car,male,collision,44.03055556
0,4,Day,Asphalt,NA,Clear,1,truck,car,male,collision,44.93055556
0,1,Dawn,Asphalt,NA,NA,NA,car,bus,male,collision,47.98888889
0,3,Day,Asphalt,Dry,NA,1,car,bus,male,collision,38.98611111
0,3,Day,Asphalt,Dry,Clear,1,car,bus,male,collision,32.75277778
0,1,Day,Asphalt,Dry,Clear,1,truck,bus,female,collision,56.08333333
0,6,Day,Soil,Dry,Clear,1,car,NA,male,collision,29.79722222
1,3,Day,Asphalt,Dry,Clear,1,motorcycle,pedestrian,male,collision,41.90555556
0,2,Day,Asphalt,Dry,Clear,1,car,car,male,collision,27.65833333
0,3,Day,Asphalt,Dry,Clear,1,bus,car,male,collision,30.74444444
0,6,Night,Asphalt,Dry,Clear,3,truck,car,male,collision,26.66666667
0,1,Day,Asphalt,Dry,Clear,1,car,car,male,collision,52.025
0,7,Day,Asphalt,Dry,Clear,1,truck,motorcycle,male,collision,32.82222222
1,3,Dawn,Asphalt,Dry,Clear,1,motorcycle,motorcycle,male,collision,28.71388889
0,1,Day,Asphalt,Dry,Clear,2,car,car,male,collision,34.75833333
0,6,Night,Asphalt,Dry,NA,2,car,NA,male,collision,29.83611111
0,5,Day,Asphalt,Dry,NA,NA,truck,truck,male,collision,55.04166667
0,6,Day,Asphalt,Dry,NA,1,motorcycle,car,male,collision,36.85833333
0,2,Day,Asphalt,NA,NA,1,car,truck,male,collision,33.78611111
0,6,Day,Asphalt,Dry,NA,1,car,car,male,collision,25.62222222
0,6,Night,Asphalt,Dry,Clear,2,car,truck,male,collision,24.70277778
1,6,Day,Asphalt,Dry,Clear,1,motorcycle,motorcycle,male,collision,44.91666667
0,6,Night,Asphalt,NA,NA,NA,car,car,male,collision,34.83055556
0,5,Day,Asphalt,NA,Clear,1,car,truck,male,collision,29.81388889
0,1,Night,Asphalt,Dry,Clear,3,truck,car,male,collision,35.77222222
0,5,Night,Asphalt,Dry,Clear,1,car,car,male,collision,32.81666667
0,7,Day,Asphalt,Dry,Clear,NA,car,car,male,collision,29.70555556
0,2,Dawn,Asphalt,NA,Clear,2,bus,bus,male,collision,34.99444444
0,7,Day,Asphalt,Dry,Unclear,1,bus,truck,male,collision,47.08611111
0,7,Day,Asphalt,NA,Clear,NA,car,bus,male,collision,48.17777778
0,4,Day,Asphalt,Dry,Clear,1,bus,car,male,collision,38.80277778
0,4,Night,Asphalt,Dry,Clear,2,car,car,male,collision,28.73611111
0,3,Day,Asphalt,NA,Clear,NA,bus,bus,male,collision,24.85
1,4,Night,Asphalt,Dry,Clear,1,truck,pedestrian,male,collision,28.73611111
0,7,Night,Asphalt,Dry,Clear,2,car,car,male,collision,36.91944444
0,7,Day,Asphalt,Dry,NA,1,motorcycle,car,male,collision,27.69166667
0,4,Night,Asphalt,Dry,Clear,1,bus,car,male,collision,23.81944444
0,3,Night,Asphalt,NA,NA,2,bus,bus,female,collision,27.81666667
0,1,Night,Asphalt,Dry,Clear,NA,car,car,female,collision,37.95833333
NA,7,Night,Asphalt,Dry,Clear,3,car,car,NA,NA,NA
0,5,Day,Asphalt,Dry,Clear,1,truck,bus,male,collision,34.86666667
0,4,Night,Asphalt,Dry,Clear,2,truck,truck,male,collision,24.85277778
0,5,Dawn,Asphalt,Dry,Clear,1,car,car,male,collision,50.00833333
0,3,Night,Asphalt,NA,Clear,1,bus,car,male,collision,33.73055556
0,1,Day,Asphalt,Dry,Clear,1,car,car,male,collision,24.72777778
0,5,Day,Asphalt,Dry,Clear,1,bus,car,female,collision,32.95277778
0,3,Night,Asphalt,Dry,Clear,2,car,car,male,collision,32.83055556
1,2,Night,Asphalt,Dry,Clear,2,bus,pedestrian,male,collision,39.81388889
0,4,Night,Asphalt,Dry,NA,NA,bus,car,male,collision,24.83333333
0,1,Night,Asphalt,Dry,Clear,1,car,car,male,collision,139.5277778
0,7,Day,Asphalt,Dry,Clear,1,car,NA,male,collision,28.66666667
0,4,Night,Asphalt,Dry,Clear,1,car,car,male,collision,22.68888889
0,5,Night,Asphalt,Dry,Clear,2,car,car,female,collision,32.93333333
0,1,Day,Asphalt,Dry,Clear,1,car,NA,female,collision,35.86944444
0,1,Night,Asphalt,Dry,Clear,3,car,car,male,collision,34.85555556
0,1,Dawn,Asphalt,Dry,Clear,1,truck,NA,male,collision,33
0,2,Day,Soil,Dry,Clear,1,truck,car,male,collision,30.74166667
0,6,Day,Asphalt,NA,NA,2,truck,motorcycle,male,collision,32.76111111
0,1,Day,Asphalt,Dry,Unclear,1,car,truck,male,collision,27.675
0,7,Day,Asphalt,Dry,Clear,1,truck,car,male,collision,30.73611111
0,1,Night,NA,NA,NA,NA,motorcycle,bus,male,collision,29.03888889
0,4,Night,Asphalt,Dry,NA,NA,car,car,male,collision,33.86944444
0,3,Dawn,Asphalt,Dry,Clear,NA,motorcycle,car,male,collision,46.13888889
0,4,Day,Asphalt,Dry,Clear,2,truck,NA,male,collision,27.64444444
1,6,Dawn,Asphalt,NA,NA,3,motorcycle,motorcycle,male,collision,30.77222222
0,3,Day,Asphalt,Dry,Clear,1,car,motorcycle,NA,collision,60.41388889
0,3,Day,Asphalt,Dry,NA,1,car,car,male,collision,40.01111111
0,5,Night,Asphalt,Dry,Clear,2,motorcycle,car,male,collision,29.71666667
NA,1,Day,Asphalt,Dry,Clear,1,motorcycle,car,male,collision,26.68055556
0,6,Dawn,Asphalt,NA,Clear,1,bus,bus,male,collision,54.26388889
0,3,Night,Asphalt,Dry,Clear,2,car,car,male,collision,47.93333333
0,2,Day,NA,NA,NA,NA,truck,car,male,collision,28.00833333
0,1,Day,Asphalt,Dry,Clear,1,truck,car,male,collision,28.76666667
